subj_idx,stim,response,rt,condition,want2see
2027,0.5,1,1.0406,1,1
2027,0.5,1,1.1793,-1,0
2027,0,1,0.9587,1,1
2027,0.5,1,1.9318,-1,0
2027,5,1,1.0067,-1,0
2027,-1.5,0,1.2789,-1,1
2027,-1,0,1.9241,1,0
2027,-1,0,0.9893,-1,1
2027,1.5,1,0.9912,-1,0
2027,-0.5,1,0.8106,1,1
2027,1.5,1,0.8555,-1,0
2027,-5,0,1.3158,1,0
2027,0.5,1,0.8078,1,1
2027,1.5,1,0.7338,1,1
2027,1.5,1,0.7816,1,1
2027,0,0,1.8169,-1,1
2027,0.5,1,1.0587,-1,0
2027,-0.5,0,1.2747,-1,1
2027,0,1,1.4096,-1,0
2027,-5,0,1.0546,-1,1
2027,-0.5,1,2.2693,-1,0
2027,1,1,1.4455,1,1
2027,-0.5,0,1.1409,1,0
2027,0.5,1,2.4951,1,1
2027,0,1,2.6366,-1,0
2027,-1.5,0,1.1134,-1,1
2027,0,1,1.215,1,1
2027,1,1,0.943,-1,0
2027,-1.5,0,1.0355,1,0
2027,-1.5,0,1.9779,1,0
2027,0,1,2.3279,1,1
2027,0.5,1,1.6332,-1,0
2027,0.5,0,2.1528,1,0
2027,-0.5,0,0.9818,1,0
2027,1,1,1.0971,-1,1
2027,1,1,0.9492,1,0
2027,-1,0,0.9202,1,1
2027,1.5,1,1.3133,-1,1
2027,-0.5,0,1.1831,1,1
2027,1,1,2.0754,1,0
2027,-1.5,0,1.2842,1,1
2027,-0.5,1,3.2566,1,0
2027,0,1,1.4959,-1,1
2027,0,1,1.2583,-1,1
2027,1.5,1,1.0213,1,0
2027,-1,0,1.0663,1,1
2027,-0.5,0,1.6102,1,1
2027,0,1,1.0092,1,0
2027,5,1,1.0444,1,0
2027,0,1,1.7252,-1,1
2027,1,1,0.8081,1,0
2027,-0.5,0,1.3597,-1,0
2027,-1,0,2.6629,1,1
2027,-0.5,0,2.9031,1,1
2027,-0.5,1,1.197,1,0
2027,1,1,0.8124,1,0
2027,-0.5,0,2.9393,-1,0
2027,0.5,0,2.6649,1,1
2027,0,1,1.0973,1,0
2027,0,1,1.0355,1,0
2027,-1.5,0,0.9727,1,1
2027,-0.5,0,2.2682,-1,0
2027,0.5,1,1.5163,1,0
2027,0.5,1,1.497,-1,1
2027,0,1,0.9863,-1,1
2027,0.5,1,0.9801,1,0
2027,0.5,1,1.1704,1,0
2027,0,1,2.3387,1,0
2027,0.5,1,2.0683,-1,1
2027,0.5,0,2.3364,-1,0
2027,0.5,1,1.8305,1,0
2027,0.5,0,2.8741,-1,0
2027,5,1,1.0713,-1,1
2027,-1,0,1.1834,-1,0
2028,-1,0,1.9266,1,1
2028,-0.5,0,2.502,-1,0
2028,-0.5,1,2.8553,-1,1
2028,-1,0,1.5347,-1,0
2028,-1,0,1.8174,-1,0
2028,0,1,1.4198,1,0
2028,-1,0,2.6485,1,1
2028,-1,0,1.3247,-1,0
2028,0.5,1,1.6141,-1,1
2028,-0.5,0,2.1694,-1,0
2028,1.5,1,0.7163,1,0
2028,5,1,0.7605,-1,1
2028,0,1,2.6787,1,0
2028,-0.5,0,2.325,1,1
2028,1,1,0.8601,1,0
2028,-1.5,0,1.2807,1,1
2028,0.5,0,2.9766,1,1
2028,-1,0,1.1635,-1,0
2028,0.5,1,0.9822,-1,1
2028,-0.5,1,2.7674,-1,1
2028,-0.5,1,1.7078,1,0
